1366185677.2 1 2 1366185677
1366185779.1 2 1 1366185785
1366215805.4 1 1 1366215808
1366215969.2 2 1 1366215976
1366225889.1 1 1 1366225889
1366226104.0 2 1 1366226106
1366231215.9 1 1 1366231215
1366231393.7 2 1 1366231395
1366299121.3 1 1 1366299120
1366299294.3 2 1 1366299295
1366304529.9 1 1 1366304534
1366304730.8 2 1 1366304738
1366307903.7 1 1 1366307902
1366308057.7 2 1 1366308058
1366366475.7 1 1 1366366477
1366366621.6 2 1 1366366622
1366395909.0 1 1 1366395910
1366396110.0 2 1 1366396115
1366398252.6 1 1 1366398253
1366398438.5 2 1 1366398439
1366446579.6 1 1 1366446581
1366446785.5 2 1 1366446791
1366447450.1 1 1 1366447448
1366447616.0 2 1 1366447622
1366458846.5 1 1 1366458849
1366459049.3 2 1 1366459053
1366467821.5 1 1 1366467822
1366467975.4 2 1 1366467979
1366468133.3 1 1 1366468133
1366468301.2 2 1 1366468302
1366476934.5 1 1 1366476936
1366477129.4 2 1 1366477134
1366481147.1 1 1 1366481147
1366481348.0 2 1 1366481351
1366483551.5 1 1 1366483551
1366483756.4 2 1 1366483761
1366484019.3 1 1 1366484019
1366484081.2 2 1 1366484079
1366533691.7 1 1 1366533694
1366533897.6 2 1 1366533904
1366534162.4 1 1 1366534164
1366534343.2 2 1 1366534344
1366537452.9 1 1 1366537456
1366537657.8 2 1 1366537660
1366550510.6 1 1 1366550514
1366550667.5 2 1 1366550670
1366568495.5 1 1 1366568496
1366568709.4 2 1 1366568713
1366575892.2 1 1 1366575894
1366576063.1 2 1 1366576068
1366614264.3 1 1 1366614263
1366614479.2 2 1 1366614480
1366615015.0 1 1 1366615018
1366615198.8 2 1 1366615204
1366619055.6 1 1 1366619056
1366619236.5 2 1 1366619243
1366625285.6 1 1 1366625290
1366625419.4 2 1 1366625422
1366625964.0 1 1 1366625967
1366626120.0 2 1 1366626123
1366626807.5 1 1 1366626811
1366627011.3 2 1 1366627003
1366630958.9 1 1 1366630956
1366631028.8 2 1 1366631028
1366633212.5 1 1 1366633210
